City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
205,marrakesh,31.6315,-8.0083,30.04,21,20,2.57,MA,1682461831
206,kamenka,51.3223,42.7678,9.71,96,36,5.25,RU,1682461832
207,boende,-0.2167,20.8667,23.86,79,81,0.99,CD,1682461832
208,moshupa,-24.7782,25.4155,20.2,45,3,2.12,BW,1682461833
209,talnakh,69.4865,88.3972,-0.44,87,98,2.51,RU,1682461833
210,manggar,-2.8833,108.2667,26.4,82,97,1.16,ID,1682461834
211,mirabad,30.4362,61.8383,25.91,19,90,4.12,AF,1682461835
212,kimbe,-5.5502,150.1429,29.38,72,74,0.35,PG,1682461835
213,nenjiang,49.1833,125.2167,4.3,31,100,1.69,CN,1682461836
214,ternate,0.8,127.4,27.54,80,14,1.7,ID,1682461837
215,tabou,4.423,-7.3528,26.74,86,100,3.12,CI,1682461838
216,kaitangata,-46.2817,169.8464,11.07,56,74,5.73,NZ,1682461839
217,nouadhibou,20.931,-17.0347,18.99,88,20,6.69,MR,1682461839
218,tambacounda,13.7539,-13.7586,33.33,18,1,0.9,SN,1682461840
219,norman wells,65.282,-126.8329,-7.98,57,75,6.17,CA,1682461519
220,port blair,11.6667,92.75,27.19,78,97,1.66,IN,1682461841
221,belyy yar,53.6039,91.3903,-3.06,80,0,3.0,RU,1682461842
222,westport,41.1415,-73.3579,14.85,48,100,3.09,US,1682461421
223,majene,-3.5403,118.9707,25.76,87,87,1.75,ID,1682461844
224,bintulu,3.1667,113.0333,25.23,100,20,0.0,MY,1682461844
225,san cristobal,7.7669,-72.225,24.1,95,56,1.14,VE,1682461845
226,hagere selam,6.4833,38.5167,8.17,92,97,1.3,ET,1682461845
227,poum,-20.2333,164.0167,25.9,77,100,4.73,NC,1682461519
228,paraiso,9.8383,-83.8656,23.48,85,91,1.51,CR,1682461847
229,tambo,-14.8,-73.9167,4.46,89,94,3.08,PE,1682461848
230,ola,59.5833,151.2833,0.08,77,98,2.82,RU,1682461848
231,svetlogorsk,52.6333,29.7333,10.45,69,88,2.03,BY,1682461849
232,luderitz,-26.6481,15.1594,17.07,81,0,5.35,NA,1682461850
233,nkan,0.3833,9.7833,24.87,97,100,3.14,GA,1682461850
234,yuzhno-kurilsk,44.0306,145.8556,5.08,81,100,10.12,RU,1682461851
235,deputatskiy,69.3,139.9,-5.32,90,86,1.29,RU,1682461851
236,oriximina,-1.7656,-55.8661,25.16,86,24,0.46,BR,1682461852
237,atuona,-9.8,-139.0333,27.43,77,15,7.48,PF,1682461461
238,roma,43.2128,-75.4557,10.46,53,75,4.63,US,1682461853
239,kodiak,57.79,-152.4072,4.73,81,75,6.69,US,1682461503
240,bethel,41.3712,-73.414,13.74,47,100,2.06,US,1682461520
241,zabol,32.25,67.25,15.74,31,96,4.52,AF,1682461855
242,san juan,-31.5375,-68.5364,22.0,32,30,1.1,AR,1682461855
243,bubaque,11.2833,-15.8333,25.77,69,2,9.06,GW,1682461529
244,fortuna,40.5982,-124.1573,18.85,67,8,1.34,US,1682461511
245,hobyo,5.3505,48.5268,28.52,75,96,5.86,SO,1682461439
246,mushie,-3.0167,16.9,22.95,90,64,0.45,CD,1682461858
247,lasa,46.6166,10.7002,5.49,89,23,2.69,IT,1682461858
248,antofagasta,-23.65,-70.4,18.6,81,46,2.09,CL,1682461702
249,rio gallegos,-51.6226,-69.2181,6.03,61,0,2.57,AR,1682461860
250,teya,60.3778,92.6267,-4.56,96,95,1.51,RU,1682461860
251,kaeo,-35.1,173.7833,19.07,81,50,4.36,NZ,1682461861
252,ribeira brava,32.65,-17.0667,20.4,59,65,0.36,PT,1682461862
253,tiksi,71.6872,128.8694,-14.29,100,100,1.13,RU,1682461515
254,thohoyandou,-22.9456,30.485,18.7,53,3,1.01,ZA,1682461863
255,nazare,-13.035,-39.0144,22.94,93,0,1.14,BR,1682461863
256,huambo,-12.7761,15.7392,16.89,82,69,2.06,AO,1682461613
257,road town,18.4167,-64.6167,28.05,65,20,2.06,VG,1682461865
258,cockburn town,21.4612,-71.1419,25.88,72,51,5.22,TC,1682461865
259,mar del plata,-38.0023,-57.5575,18.38,95,100,1.54,AR,1682461517
260,uinskoye,56.8817,56.5813,11.76,66,100,2.33,RU,1682461867
261,kruisfontein,-34.0033,24.7314,16.6,94,79,1.25,ZA,1682461867
262,katobu,-4.9408,122.5276,24.47,91,98,1.09,ID,1682461868
263,mandalgovi,45.7625,106.2708,6.27,63,100,7.98,MN,1682461868
264,paamiut,61.994,-49.6678,0.75,98,100,2.61,GL,1682461869
265,cidreira,-30.1811,-50.2056,21.93,88,90,7.99,BR,1682461869
266,turan,16.0678,108.2208,25.99,89,40,0.0,VN,1682461870
267,praia da vitoria,38.7333,-27.0667,18.14,82,20,5.08,PT,1682461650
268,krasnoselkup,65.7,82.4667,-7.24,92,100,3.83,RU,1682461871
269,vieux-habitants,16.0589,-61.7659,25.76,75,28,1.53,GP,1682461872
270,sioux lookout,50.1001,-91.917,6.04,33,20,4.12,CA,1682461860
271,baoding,38.8511,115.4903,9.86,19,1,0.78,CN,1682461873
272,ponta do sol,32.6667,-17.1,20.4,60,54,2.23,PT,1682461439
273,salinopolis,-0.6136,-47.3561,26.12,85,68,3.85,BR,1682461874
274,dubuque,42.4833,-90.8668,10.49,41,20,2.57,US,1682461874
275,castro verde,37.6983,-8.0858,18.68,66,8,2.99,PT,1682461875
276,mangrol,21.1167,70.1167,26.01,76,15,4.68,IN,1682461875
277,diamantino,-14.4086,-56.4461,25.88,71,73,1.3,BR,1682461876
278,chuy,-33.6971,-53.4616,18.99,90,96,2.11,UY,1682461500
279,lerwick,60.1545,-1.1494,2.0,63,81,8.45,GB,1682461877
280,narrabri,-30.3167,149.7833,18.52,48,0,1.09,AU,1682461878
281,elizabeth city,36.2946,-76.2511,16.12,59,0,5.66,US,1682461802
282,polson,47.6936,-114.1632,14.29,44,95,2.68,US,1682461879
283,vanimo,-2.6741,141.3028,27.7,81,58,1.96,PG,1682461879
